k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,599799,0,1240914,1.0,0.3259,0.4915
2,0.007874,599799,0,1240914,1.0,0.3259,0.4915
3,0.011811,599799,0,1240914,1.0,0.3259,0.4915
4,0.015748,599799,0,1240914,1.0,0.3259,0.4915
5,0.019685,599799,0,1240914,1.0,0.3259,0.4915
6,0.023622,599799,0,1240914,1.0,0.3259,0.4915
7,0.027559,599799,0,1240914,1.0,0.3259,0.4915
8,0.031496,599799,0,1240914,1.0,0.3259,0.4915
9,0.035433,599799,0,1240914,1.0,0.3259,0.4915
10,0.03937,599799,0,1240914,1.0,0.3259,0.4915
11,0.043307,599799,0,1240914,1.0,0.3259,0.4915
12,0.047244,599799,0,1240914,1.0,0.3259,0.4915
13,0.051181,599799,0,1240914,1.0,0.3259,0.4915
14,0.055118,599799,0,1240914,1.0,0.3259,0.4915
15,0.059055,599799,0,1240914,1.0,0.3259,0.4915
16,0.062992,599799,0,1240914,1.0,0.3259,0.4915
17,0.066929,599799,0,1240914,1.0,0.3259,0.4915
18,0.070866,599799,0,1240914,1.0,0.3259,0.4915
19,0.074803,599799,0,1240914,1.0,0.3259,0.4915
20,0.07874,599799,0,1240914,1.0,0.3259,0.4915
21,0.082677,599799,0,1240914,1.0,0.3259,0.4915
22,0.086614,599799,0,1240914,1.0,0.3259,0.4915
23,0.090551,599799,0,1240914,1.0,0.3259,0.4915
24,0.094488,599799,0,1240914,1.0,0.3259,0.4915
25,0.098425,599799,0,1240914,1.0,0.3259,0.4915
26,0.102362,599799,0,1240914,1.0,0.3259,0.4915
27,0.106299,599799,0,1240914,1.0,0.3259,0.4915
28,0.110236,599799,0,1240914,1.0,0.3259,0.4915
29,0.114173,599799,0,1240914,1.0,0.3259,0.4915
30,0.11811,599799,0,1240914,1.0,0.3259,0.4915
31,0.122047,599799,0,1240914,1.0,0.3259,0.4915
32,0.125984,599799,0,1240914,1.0,0.3259,0.4915
33,0.129921,599799,0,1240914,1.0,0.3259,0.4915
34,0.133858,599799,0,1240914,1.0,0.3259,0.4915
35,0.137795,599799,0,1240914,1.0,0.3259,0.4915
36,0.141732,599799,0,1240914,1.0,0.3259,0.4915
37,0.145669,599799,0,1240914,1.0,0.3259,0.4915
38,0.149606,599799,0,1240914,1.0,0.3259,0.4915
39,0.153543,599799,0,1240914,1.0,0.3259,0.4915
40,0.15748,599799,0,1240914,1.0,0.3259,0.4915
41,0.161417,599799,0,1240914,1.0,0.3259,0.4915
42,0.165354,599799,0,1240914,1.0,0.3259,0.4915
43,0.169291,599799,0,1240914,1.0,0.3259,0.4915
44,0.173228,599799,0,1240914,1.0,0.3259,0.4915
45,0.177165,599799,0,1240914,1.0,0.3259,0.4915
46,0.181102,599799,0,1240914,1.0,0.3259,0.4915
47,0.185039,599799,0,1240914,1.0,0.3259,0.4915
48,0.188976,599799,0,1240914,1.0,0.3259,0.4915
49,0.192913,599799,0,1240914,1.0,0.3259,0.4915
50,0.19685,599799,0,1240914,1.0,0.3259,0.4915
51,0.200787,599799,0,1240914,1.0,0.3259,0.4915
52,0.204724,599799,0,1240914,1.0,0.3259,0.4915
53,0.208661,599799,0,1240914,1.0,0.3259,0.4915
54,0.212598,599799,0,1240914,1.0,0.3259,0.4915
55,0.216535,599799,0,1240914,1.0,0.3259,0.4915
56,0.220472,599799,0,1240914,1.0,0.3259,0.4915
57,0.224409,599799,0,1240914,1.0,0.3259,0.4915
58,0.228346,599799,0,1240914,1.0,0.3259,0.4915
59,0.232283,599799,0,1240914,1.0,0.3259,0.4915
60,0.23622,599799,0,1240914,1.0,0.3259,0.4915
61,0.240157,599799,0,1240914,1.0,0.3259,0.4915
62,0.244094,599799,0,1240914,1.0,0.3259,0.4915
63,0.248031,599799,0,1240914,1.0,0.3259,0.4915
64,0.251968,599799,0,1240914,1.0,0.3259,0.4915
65,0.255905,599799,0,1240914,1.0,0.3259,0.4915
66,0.259842,599799,0,1240914,1.0,0.3259,0.4915
67,0.263779,599799,0,1240914,1.0,0.3259,0.4915
68,0.267716,599799,0,1240914,1.0,0.3259,0.4915
69,0.271653,599799,0,1240914,1.0,0.3259,0.4915
70,0.27559,599799,0,1240914,1.0,0.3259,0.4915
71,0.279527,599799,0,1240914,1.0,0.3259,0.4915
72,0.283464,599799,0,1240914,1.0,0.3259,0.4915
73,0.287401,599799,0,1240914,1.0,0.3259,0.4915
74,0.291338,599799,0,1240914,1.0,0.3259,0.4915
75,0.295275,599799,0,1240914,1.0,0.3259,0.4915
76,0.299212,599799,0,1240914,1.0,0.3259,0.4915
77,0.303149,599799,0,1240914,1.0,0.3259,0.4915
78,0.307086,599798,1,1238616,1.0,0.3263,0.492
79,0.311023,598644,1155,1213007,0.9981,0.3304,0.4965
80,0.31496,594856,4943,1185463,0.9918,0.3341,0.4999
81,0.318897,590579,9220,1149685,0.9846,0.3394,0.5048
82,0.322834,584567,15232,1088865,0.9746,0.3493,0.5143
83,0.326771,574826,24973,1005751,0.9584,0.3637,0.5273
84,0.330708,562242,37557,924513,0.9374,0.3782,0.5389
85,0.334645,551409,48390,854960,0.9193,0.3921,0.5497
86,0.338582,543182,56617,815141,0.9056,0.3999,0.5548
87,0.342519,538050,61749,797606,0.8971,0.4028,0.556
88,0.346456,534546,65253,785765,0.8912,0.4049,0.5568
89,0.350393,531540,68259,775531,0.8862,0.4067,0.5575
90,0.35433,529091,70708,766459,0.8821,0.4084,0.5583
91,0.358267,526934,72865,758092,0.8785,0.4101,0.5591
92,0.362204,524914,74885,750450,0.8751,0.4116,0.5599
93,0.366141,523026,76773,742953,0.872,0.4131,0.5607
94,0.370078,521095,78704,735532,0.8688,0.4147,0.5614
95,0.374015,519110,80689,728442,0.8655,0.4161,0.562
96,0.377952,517099,82700,721361,0.8621,0.4175,0.5626
97,0.381889,515130,84669,714166,0.8588,0.419,0.5633
98,0.385826,513230,86569,707248,0.8557,0.4205,0.5639
99,0.389763,511320,88479,700637,0.8525,0.4219,0.5644
100,0.3937,509240,90559,693937,0.849,0.4232,0.5649
101,0.397637,507114,92685,687115,0.8455,0.4246,0.5653
102,0.401574,504877,94922,680062,0.8417,0.4261,0.5658
103,0.405511,502534,97265,672897,0.8378,0.4275,0.5662
104,0.409448,500013,99786,665770,0.8336,0.4289,0.5664
105,0.413385,497381,102418,658276,0.8292,0.4304,0.5667
106,0.417322,494730,105069,650658,0.8248,0.4319,0.567
107,0.421259,491951,107848,642602,0.8202,0.4336,0.5673
108,0.425196,488987,110812,634820,0.8153,0.4351,0.5674
109,0.429133,486134,113665,626749,0.8105,0.4368,0.5677
110,0.43307,483177,116622,618475,0.8056,0.4386,0.568
111,0.437007,480141,119658,609746,0.8005,0.4405,0.5683
112,0.440944,476988,122811,600901,0.7952,0.4425,0.5686
113,0.444881,473497,126302,591942,0.7894,0.4444,0.5687
114,0.448818,469969,129830,582722,0.7835,0.4464,0.5688
115,0.452755,466371,133428,573204,0.7775,0.4486,0.569
116,0.456692,462568,137231,563388,0.7712,0.4509,0.5691
117,0.460629,458619,141180,553320,0.7646,0.4532,0.5691
118,0.464566,454506,145293,543020,0.7578,0.4556,0.5691
119,0.468503,450260,149539,532424,0.7507,0.4582,0.5691
120,0.47244,445588,154211,521226,0.7429,0.4609,0.5689
121,0.476377,440259,159540,509258,0.734,0.4637,0.5683
122,0.480314,433788,166011,495705,0.7232,0.4667,0.5673
123,0.484251,425683,174116,479442,0.7097,0.4703,0.5657
124,0.488188,414457,185342,456752,0.691,0.4757,0.5635
125,0.492125,396786,203013,423887,0.6615,0.4835,0.5587
126,0.496062,366664,233135,372261,0.6113,0.4962,0.5478
127,0.5,306943,292856,279359,0.5117,0.5235,0.5176
128,0.503937,242911,356888,191343,0.405,0.5594,0.4698
129,0.507874,48826,550973,13247,0.0814,0.7866,0.1475
130,0.511811,3876,595923,294,0.0065,0.9295,0.0128
131,0.515748,336,599463,0,0.0006,1.0,0.0011
132,0.519685,101,599698,0,0.0002,1.0,0.0003
133,0.523622,33,599766,0,0.0001,1.0,0.0001
134,0.527559,0,599799,0,0.0,nan,
135,0.531496,0,599799,0,0.0,nan,
136,0.535433,0,599799,0,0.0,nan,
137,0.53937,0,599799,0,0.0,nan,
138,0.543307,0,599799,0,0.0,nan,
139,0.547244,0,599799,0,0.0,nan,
140,0.551181,0,599799,0,0.0,nan,
141,0.555118,0,599799,0,0.0,nan,
142,0.559055,0,599799,0,0.0,nan,
143,0.562992,0,599799,0,0.0,nan,
144,0.566929,0,599799,0,0.0,nan,
145,0.570866,0,599799,0,0.0,nan,
146,0.574803,0,599799,0,0.0,nan,
147,0.57874,0,599799,0,0.0,nan,
148,0.582677,0,599799,0,0.0,nan,
149,0.586614,0,599799,0,0.0,nan,
150,0.590551,0,599799,0,0.0,nan,
151,0.594488,0,599799,0,0.0,nan,
152,0.598425,0,599799,0,0.0,nan,
153,0.602362,0,599799,0,0.0,nan,
154,0.606299,0,599799,0,0.0,nan,
155,0.610236,0,599799,0,0.0,nan,
156,0.614173,0,599799,0,0.0,nan,
157,0.61811,0,599799,0,0.0,nan,
158,0.622047,0,599799,0,0.0,nan,
159,0.625984,0,599799,0,0.0,nan,
160,0.629921,0,599799,0,0.0,nan,
161,0.633858,0,599799,0,0.0,nan,
162,0.637795,0,599799,0,0.0,nan,
163,0.641732,0,599799,0,0.0,nan,
164,0.645669,0,599799,0,0.0,nan,
165,0.649606,0,599799,0,0.0,nan,
166,0.653543,0,599799,0,0.0,nan,
167,0.65748,0,599799,0,0.0,nan,
168,0.661417,0,599799,0,0.0,nan,
169,0.665354,0,599799,0,0.0,nan,
170,0.669291,0,599799,0,0.0,nan,
171,0.673228,0,599799,0,0.0,nan,
172,0.677165,0,599799,0,0.0,nan,
173,0.681102,0,599799,0,0.0,nan,
174,0.685039,0,599799,0,0.0,nan,
175,0.688976,0,599799,0,0.0,nan,
176,0.692913,0,599799,0,0.0,nan,
177,0.69685,0,599799,0,0.0,nan,
178,0.700787,0,599799,0,0.0,nan,
179,0.704724,0,599799,0,0.0,nan,
180,0.708661,0,599799,0,0.0,nan,
181,0.712598,0,599799,0,0.0,nan,
182,0.716535,0,599799,0,0.0,nan,
183,0.720472,0,599799,0,0.0,nan,
184,0.724409,0,599799,0,0.0,nan,
185,0.728346,0,599799,0,0.0,nan,
186,0.732283,0,599799,0,0.0,nan,
187,0.73622,0,599799,0,0.0,nan,
188,0.740157,0,599799,0,0.0,nan,
189,0.744094,0,599799,0,0.0,nan,
190,0.748031,0,599799,0,0.0,nan,
191,0.751968,0,599799,0,0.0,nan,
192,0.755905,0,599799,0,0.0,nan,
193,0.759842,0,599799,0,0.0,nan,
194,0.763779,0,599799,0,0.0,nan,
195,0.767716,0,599799,0,0.0,nan,
196,0.771653,0,599799,0,0.0,nan,
197,0.77559,0,599799,0,0.0,nan,
198,0.779527,0,599799,0,0.0,nan,
199,0.783464,0,599799,0,0.0,nan,
200,0.787401,0,599799,0,0.0,nan,
201,0.791338,0,599799,0,0.0,nan,
202,0.795275,0,599799,0,0.0,nan,
203,0.799212,0,599799,0,0.0,nan,
204,0.803149,0,599799,0,0.0,nan,
205,0.807086,0,599799,0,0.0,nan,
206,0.811023,0,599799,0,0.0,nan,
207,0.81496,0,599799,0,0.0,nan,
208,0.818897,0,599799,0,0.0,nan,
209,0.822834,0,599799,0,0.0,nan,
210,0.826771,0,599799,0,0.0,nan,
211,0.830708,0,599799,0,0.0,nan,
212,0.834645,0,599799,0,0.0,nan,
213,0.838582,0,599799,0,0.0,nan,
214,0.842519,0,599799,0,0.0,nan,
215,0.846456,0,599799,0,0.0,nan,
216,0.850393,0,599799,0,0.0,nan,
217,0.85433,0,599799,0,0.0,nan,
218,0.858267,0,599799,0,0.0,nan,
219,0.862204,0,599799,0,0.0,nan,
220,0.866141,0,599799,0,0.0,nan,
221,0.870078,0,599799,0,0.0,nan,
222,0.874015,0,599799,0,0.0,nan,
223,0.877952,0,599799,0,0.0,nan,
224,0.881889,0,599799,0,0.0,nan,
225,0.885826,0,599799,0,0.0,nan,
226,0.889763,0,599799,0,0.0,nan,
227,0.8937,0,599799,0,0.0,nan,
228,0.897637,0,599799,0,0.0,nan,
229,0.901574,0,599799,0,0.0,nan,
230,0.905511,0,599799,0,0.0,nan,
231,0.909448,0,599799,0,0.0,nan,
232,0.913385,0,599799,0,0.0,nan,
233,0.917322,0,599799,0,0.0,nan,
234,0.921259,0,599799,0,0.0,nan,
235,0.925196,0,599799,0,0.0,nan,
236,0.929133,0,599799,0,0.0,nan,
237,0.93307,0,599799,0,0.0,nan,
238,0.937007,0,599799,0,0.0,nan,
239,0.940944,0,599799,0,0.0,nan,
240,0.944881,0,599799,0,0.0,nan,
241,0.948818,0,599799,0,0.0,nan,
242,0.952755,0,599799,0,0.0,nan,
243,0.956692,0,599799,0,0.0,nan,
244,0.960629,0,599799,0,0.0,nan,
245,0.964566,0,599799,0,0.0,nan,
246,0.968503,0,599799,0,0.0,nan,
247,0.97244,0,599799,0,0.0,nan,
248,0.976377,0,599799,0,0.0,nan,
249,0.980314,0,599799,0,0.0,nan,
250,0.984251,0,599799,0,0.0,nan,
251,0.988188,0,599799,0,0.0,nan,
252,0.992125,0,599799,0,0.0,nan,
253,0.996062,0,599799,0,0.0,nan,
254,1.0,0,599799,0,0.0,nan,
