k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6456574,0,13356617,1.0,0.3259,0.4916
2,0.007874,6456574,0,13356617,1.0,0.3259,0.4916
3,0.011811,6456574,0,13356617,1.0,0.3259,0.4916
4,0.015748,6456574,0,13356617,1.0,0.3259,0.4916
5,0.019685,6456574,0,13356617,1.0,0.3259,0.4916
6,0.023622,6456574,0,13356617,1.0,0.3259,0.4916
7,0.027559,6456574,0,13356617,1.0,0.3259,0.4916
8,0.031496,6456574,0,13356617,1.0,0.3259,0.4916
9,0.035433,6456574,0,13356617,1.0,0.3259,0.4916
10,0.03937,6456574,0,13356617,1.0,0.3259,0.4916
11,0.043307,6456574,0,13356617,1.0,0.3259,0.4916
12,0.047244,6456574,0,13356617,1.0,0.3259,0.4916
13,0.051181,6456574,0,13356617,1.0,0.3259,0.4916
14,0.055118,6456574,0,13356617,1.0,0.3259,0.4916
15,0.059055,6456574,0,13356617,1.0,0.3259,0.4916
16,0.062992,6456574,0,13356617,1.0,0.3259,0.4916
17,0.066929,6456574,0,13356617,1.0,0.3259,0.4916
18,0.070866,6456574,0,13356617,1.0,0.3259,0.4916
19,0.074803,6456574,0,13356617,1.0,0.3259,0.4916
20,0.07874,6456574,0,13356617,1.0,0.3259,0.4916
21,0.082677,6456574,0,13356617,1.0,0.3259,0.4916
22,0.086614,6456574,0,13356617,1.0,0.3259,0.4916
23,0.090551,6456574,0,13356617,1.0,0.3259,0.4916
24,0.094488,6456574,0,13356617,1.0,0.3259,0.4916
25,0.098425,6456574,0,13356617,1.0,0.3259,0.4916
26,0.102362,6456574,0,13356617,1.0,0.3259,0.4916
27,0.106299,6456574,0,13356617,1.0,0.3259,0.4916
28,0.110236,6456574,0,13356617,1.0,0.3259,0.4916
29,0.114173,6456574,0,13354931,1.0,0.3259,0.4916
30,0.11811,6456552,22,13341894,1.0,0.3261,0.4918
31,0.122047,6456498,76,13288920,1.0,0.327,0.4928
32,0.125984,6456119,455,13187971,0.9999,0.3287,0.4947
33,0.129921,6455356,1218,13040824,0.9998,0.3311,0.4975
34,0.133858,6453354,3220,12843442,0.9995,0.3344,0.5012
35,0.137795,6449140,7434,12538609,0.9988,0.3396,0.5069
36,0.141732,6441915,14659,12051107,0.9977,0.3483,0.5164
37,0.145669,6429524,27050,11295197,0.9958,0.3627,0.5318
38,0.149606,6408903,47671,10330916,0.9926,0.3829,0.5526
39,0.153543,6377753,78821,9297081,0.9878,0.4069,0.5764
40,0.15748,6334872,121702,8317560,0.9812,0.4323,0.6002
41,0.161417,6282296,174278,7468762,0.973,0.4569,0.6218
42,0.165354,6217544,239030,6722921,0.963,0.4805,0.6411
43,0.169291,6144210,312364,6078188,0.9516,0.5027,0.6579
44,0.173228,6060579,395995,5495317,0.9387,0.5245,0.6729
45,0.177165,5971333,485241,4990048,0.9248,0.5448,0.6857
46,0.181102,5878618,577956,4535568,0.9105,0.5645,0.6969
47,0.185039,5788234,668340,4143124,0.8965,0.5828,0.7064
48,0.188976,5696357,760217,3801978,0.8823,0.5997,0.7141
49,0.192913,5607744,848830,3511148,0.8685,0.615,0.7201
50,0.19685,5520624,935950,3250611,0.855,0.6294,0.7251
51,0.200787,5437443,1019131,3029771,0.8422,0.6422,0.7287
52,0.204724,5356791,1099783,2835275,0.8297,0.6539,0.7314
53,0.208661,5278926,1177648,2663084,0.8176,0.6647,0.7333
54,0.212598,5204627,1251947,2511053,0.8061,0.6746,0.7345
55,0.216535,5136508,1320066,2383354,0.7955,0.6831,0.735
56,0.220472,5072335,1384239,2270088,0.7856,0.6908,0.7352
57,0.224409,5015689,1440885,2174501,0.7768,0.6976,0.7351
58,0.228346,4964610,1491964,2091389,0.7689,0.7036,0.7348
59,0.232283,4920423,1536151,2020612,0.7621,0.7089,0.7345
60,0.23622,4881974,1574600,1963225,0.7561,0.7132,0.734
61,0.240157,4851198,1605376,1917994,0.7514,0.7167,0.7336
62,0.244094,4824592,1631982,1880711,0.7472,0.7195,0.7331
63,0.248031,4801325,1655249,1849184,0.7436,0.7219,0.7326
64,0.251968,4780197,1676377,1821562,0.7404,0.7241,0.7321
65,0.255905,4761893,1694681,1797898,0.7375,0.7259,0.7317
66,0.259842,4745100,1711474,1776417,0.7349,0.7276,0.7312
67,0.263779,4729492,1727082,1756283,0.7325,0.7292,0.7309
68,0.267716,4714589,1741985,1737520,0.7302,0.7307,0.7305
69,0.271653,4700329,1756245,1719950,0.728,0.7321,0.73
70,0.27559,4687254,1769320,1703975,0.726,0.7334,0.7297
71,0.279527,4674846,1781728,1688914,0.724,0.7346,0.7293
72,0.283464,4662897,1793677,1674600,0.7222,0.7358,0.7289
73,0.287401,4651183,1805391,1660668,0.7204,0.7369,0.7285
74,0.291338,4640243,1816331,1647628,0.7187,0.738,0.7282
75,0.295275,4629460,1827114,1634659,0.717,0.739,0.7279
76,0.299212,4619206,1837368,1622506,0.7154,0.7401,0.7275
77,0.303149,4608912,1847662,1610741,0.7138,0.741,0.7272
