k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6457455,0,13355735,1.0,0.3259,0.4916
2,0.007874,6457455,0,13355735,1.0,0.3259,0.4916
3,0.011811,6457455,0,13355735,1.0,0.3259,0.4916
4,0.015748,6457455,0,13355735,1.0,0.3259,0.4916
5,0.019685,6457455,0,13355735,1.0,0.3259,0.4916
6,0.023622,6457455,0,13355735,1.0,0.3259,0.4916
7,0.027559,6457455,0,13355735,1.0,0.3259,0.4916
8,0.031496,6457455,0,13355735,1.0,0.3259,0.4916
9,0.035433,6457455,0,13355735,1.0,0.3259,0.4916
10,0.03937,6457455,0,13355735,1.0,0.3259,0.4916
11,0.043307,6457455,0,13355735,1.0,0.3259,0.4916
12,0.047244,6457455,0,13355735,1.0,0.3259,0.4916
13,0.051181,6457455,0,13355461,1.0,0.3259,0.4916
14,0.055118,6457411,44,13347254,1.0,0.3261,0.4918
15,0.059055,6457298,157,13307630,1.0,0.3267,0.4925
16,0.062992,6456669,786,13204036,0.9999,0.3284,0.4944
17,0.066929,6455319,2136,13010785,0.9997,0.3316,0.498
18,0.070866,6451250,6205,12590564,0.999,0.3388,0.506
19,0.074803,6441167,16288,11846943,0.9975,0.3522,0.5206
20,0.07874,6423473,33982,10738898,0.9947,0.3743,0.5439
21,0.082677,6393683,63772,9375855,0.9901,0.4054,0.5753
22,0.086614,6349056,108399,8038410,0.9832,0.4413,0.6092
23,0.090551,6289073,168382,6938193,0.9739,0.4755,0.639
24,0.094488,6212382,245073,6023612,0.962,0.5077,0.6647
25,0.098425,6115306,342149,5228245,0.947,0.5391,0.6871
26,0.102362,6010676,446779,4588968,0.9308,0.5671,0.7048
27,0.106299,5903950,553505,4074712,0.9143,0.5917,0.7184
28,0.110236,5797564,659891,3663219,0.8978,0.6128,0.7284
29,0.114173,5695734,761721,3327352,0.882,0.6312,0.7359
30,0.11811,5594474,862981,3038757,0.8664,0.648,0.7414
31,0.122047,5495157,962298,2789363,0.851,0.6633,0.7455
32,0.125984,5403190,1054265,2585113,0.8367,0.6764,0.7481
33,0.129921,5317738,1139717,2412980,0.8235,0.6879,0.7496
34,0.133858,5237668,1219787,2260764,0.8111,0.6985,0.7506
35,0.137795,5165278,1292177,2132051,0.7999,0.7078,0.7511
36,0.141732,5100518,1356937,2022197,0.7899,0.7161,0.7512
37,0.145669,5043152,1414303,1929717,0.781,0.7233,0.751
38,0.149606,4992722,1464733,1853348,0.7732,0.7293,0.7506
39,0.153543,4948112,1509343,1788348,0.7663,0.7345,0.7501
40,0.15748,4910071,1547384,1735177,0.7604,0.7389,0.7495
41,0.161417,4877804,1579651,1691415,0.7554,0.7425,0.7489
42,0.165354,4849923,1607532,1654775,0.7511,0.7456,0.7483
43,0.169291,4826171,1631284,1624342,0.7474,0.7482,0.7478
44,0.173228,4805148,1652307,1598246,0.7441,0.7504,0.7473
45,0.177165,4786195,1671260,1575663,0.7412,0.7523,0.7467
46,0.181102,4768658,1688797,1554476,0.7385,0.7542,0.7462
47,0.185039,4752779,1704676,1536188,0.736,0.7557,0.7457
48,0.188976,4737966,1719489,1518762,0.7337,0.7573,0.7453
49,0.192913,4724242,1733213,1503022,0.7316,0.7586,0.7449
50,0.19685,4711198,1746257,1488219,0.7296,0.7599,0.7444
51,0.200787,4699212,1758243,1474590,0.7277,0.7612,0.7441
52,0.204724,4687564,1769891,1461795,0.7259,0.7623,0.7437
53,0.208661,4676469,1780986,1449318,0.7242,0.7634,0.7433
54,0.212598,4665484,1791971,1437172,0.7225,0.7645,0.7429
55,0.216535,4655346,1802109,1426043,0.7209,0.7655,0.7425
56,0.220472,4645339,1812116,1415416,0.7194,0.7665,0.7422
57,0.224409,4636120,1821335,1405577,0.7179,0.7674,0.7418
58,0.228346,4627264,1830191,1395952,0.7166,0.7682,0.7415
59,0.232283,4618498,1838957,1386496,0.7152,0.7691,0.7412
60,0.23622,4609747,1847708,1377272,0.7139,0.77,0.7409
61,0.240157,4601537,1855918,1368752,0.7126,0.7707,0.7405
62,0.244094,4593576,1863879,1360570,0.7114,0.7715,0.7402
63,0.248031,4585813,1871642,1352393,0.7102,0.7723,0.7399
64,0.251968,4578062,1879393,1344493,0.709,0.773,0.7396
65,0.255905,4570693,1886762,1336966,0.7078,0.7737,0.7393
66,0.259842,4563534,1893921,1329668,0.7067,0.7744,0.739
67,0.263779,4556376,1901079,1322568,0.7056,0.775,0.7387
68,0.267716,4549289,1908166,1315393,0.7045,0.7757,0.7384
69,0.271653,4542292,1915163,1308417,0.7034,0.7764,0.7381
70,0.27559,4535513,1921942,1301649,0.7024,0.777,0.7378
71,0.279527,4528952,1928503,1295083,0.7014,0.7776,0.7375
72,0.283464,4522519,1934936,1288550,0.7004,0.7783,0.7373
73,0.287401,4516013,1941442,1282127,0.6993,0.7789,0.737
74,0.291338,4509764,1947691,1275851,0.6984,0.7795,0.7367
75,0.295275,4503262,1954193,1269626,0.6974,0.7801,0.7364
76,0.299212,4497148,1960307,1263494,0.6964,0.7807,0.7361
77,0.303149,4490854,1966601,1257449,0.6955,0.7812,0.7359
78,0.307086,4484811,1972644,1251447,0.6945,0.7818,0.7356
79,0.311023,4478845,1978610,1245675,0.6936,0.7824,0.7353
80,0.31496,4472959,1984496,1240033,0.6927,0.7829,0.7351
81,0.318897,4466934,1990521,1234229,0.6917,0.7835,0.7348
82,0.322834,4461067,1996388,1228620,0.6908,0.7841,0.7345
83,0.326771,4455189,2002266,1223145,0.6899,0.7846,0.7342
84,0.330708,4449409,2008046,1217735,0.689,0.7851,0.7339
85,0.334645,4443497,2013958,1212214,0.6881,0.7857,0.7337
86,0.338582,4437635,2019820,1206828,0.6872,0.7862,0.7334
87,0.342519,4431909,2025546,1201315,0.6863,0.7867,0.7331
88,0.346456,4426120,2031335,1195991,0.6854,0.7873,0.7328
89,0.350393,4420233,2037222,1190716,0.6845,0.7878,0.7325
90,0.35433,4414555,2042900,1185335,0.6836,0.7883,0.7323
91,0.358267,4408780,2048675,1180243,0.6827,0.7888,0.732
92,0.362204,4402999,2054456,1175161,0.6818,0.7893,0.7317
93,0.366141,4397035,2060420,1169936,0.6809,0.7898,0.7314
94,0.370078,4391258,2066197,1164677,0.68,0.7904,0.7311
95,0.374015,4385407,2072048,1159527,0.6791,0.7909,0.7308
96,0.377952,4379527,2077928,1154123,0.6782,0.7914,0.7305
97,0.381889,4373810,2083645,1149012,0.6773,0.792,0.7302
98,0.385826,4367927,2089528,1143831,0.6764,0.7925,0.7299
99,0.389763,4361940,2095515,1138593,0.6755,0.793,0.7295
